[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --- parseNext [254,22,103,0,0,110,106,123,37,0,75,18,0,0,0,7,9,4,140,102,238,18,138,128,148,202,58]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --> parsed 22 - 3 - 7 - 0 - [0,110,106,123,37,0,75,18,0,0,0,7,9,4,140,102,238,18,138,128,148,202] - 58
[2026-03-12 12:53:59] debug: 	zh:zstack:znp: <-- SRSP: UTIL - getDeviceInfo - {"status":0,"ieeeaddr":"0x00124b00257b6a6e","shortaddr":0,"devicetype":7,"devicestate":9,"numassocdevices":4,"assocdeviceslist":[26252,4846,32906,51860]}
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-03-12 12:53:59] debug: 	zh:adapter:zstack:manager: adapter is already running in coordinator mode
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:writer: --> frame [254,4,37,5,0,0,0,0,36]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: <-- [254,1,101,5,0,97,254,21,69,133,0,0,0,0,0,15,242,239,47,13,12,110,11,10,8,6,5,4,3,2,1,137]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --- parseNext [254,1,101,5,0,97,254,21,69,133,0,0,0,0,0,15,242,239,47,13,12,110,11,10,8,6,5,4,3,2,1,137]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --> parsed 1 - 3 - 5 - 5 - [0] - 97
[2026-03-12 12:53:59] debug: 	zh:zstack:znp: <-- SRSP: ZDO - activeEpReq
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --- parseNext [254,21,69,133,0,0,0,0,0,15,242,239,47,13,12,110,11,10,8,6,5,4,3,2,1,137]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --> parsed 21 - 2 - 5 - 133 - [0,0,0,0,0,15,242,239,47,13,12,110,11,10,8,6,5,4,3,2,1] - 137
[2026-03-12 12:53:59] debug: 	zh:zstack:znp: <-- AREQ: ZDO - activeEpRsp
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-03-12 12:53:59] debug: 	zh:adapter:zstack:manager: endpoint '1' already registered
[2026-03-12 12:53:59] debug: 	zh:adapter:zstack:manager: endpoint '2' already registered
[2026-03-12 12:53:59] debug: 	zh:adapter:zstack:manager: endpoint '3' already registered
[2026-03-12 12:53:59] debug: 	zh:adapter:zstack:manager: endpoint '4' already registered
[2026-03-12 12:53:59] debug: 	zh:adapter:zstack:manager: endpoint '5' already registered
[2026-03-12 12:53:59] debug: 	zh:adapter:zstack:manager: endpoint '6' already registered
[2026-03-12 12:53:59] debug: 	zh:adapter:zstack:manager: endpoint '8' already registered
[2026-03-12 12:53:59] debug: 	zh:adapter:zstack:manager: endpoint '10' already registered
[2026-03-12 12:53:59] debug: 	zh:adapter:zstack:manager: endpoint '11' already registered
[2026-03-12 12:53:59] debug: 	zh:adapter:zstack:manager: endpoint '110' already registered
[2026-03-12 12:53:59] debug: 	zh:adapter:zstack:manager: endpoint '12' already registered
[2026-03-12 12:53:59] debug: 	zh:adapter:zstack:manager: endpoint '13' already registered
[2026-03-12 12:53:59] debug: 	zh:adapter:zstack:manager: endpoint '47' already registered
[2026-03-12 12:53:59] debug: 	zh:adapter:zstack:manager: endpoint '239' already registered
[2026-03-12 12:53:59] debug: 	zh:adapter:zstack:manager: endpoint '242' already registered
[2026-03-12 12:53:59] debug: 	zh:zstack:znp: --> SREQ: ZDO - extFindGroup - {"endpoint":242,"groupid":2948}
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:writer: --> frame [254,3,37,74,242,132,11,17]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: <-- [254,19,101,74,0,132,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --- parseNext [254,19,101,74,0,132,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --> parsed 19 - 3 - 5 - 74 - [0,132,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0] - 179
[2026-03-12 12:53:59] debug: 	zh:zstack:znp: <-- SRSP: ZDO - extFindGroup
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-03-12 12:53:59] debug: 	zh:controller: Started with result 'resumed'
[2026-03-12 12:53:59] debug: 	zh:zstack:znp: --> SREQ: ZDO - extNwkInfo - {}
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:writer: --> frame [254,0,37,80,117]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: <-- [254,24,101,80,0,0,9,169,56,0,0,215,126,80,69,211,64,210,29,0,0,0,0,0,0,0,0,25,76]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --- parseNext [254,24,101,80,0,0,9,169,56,0,0,215,126,80,69,211,64,210,29,0,0,0,0,0,0,0,0,25,76]
